date,urals,jpy,ttf gas,eur,cny,krw,uah,rub
3/23/2015,68.3248731,0.010713,29.375658,1.38892,0.2042,0.00115,0.056091371,0.0216
3/24/2015,68.00812492,0.0106,30.10617396,1.38687,0.2046,0.00115,0.054716263,0.022
3/25/2015,69.64945825,0.0106,29.92469,1.39835,0.2052,0.001158,0.057233907,0.0222
3/26/2015,72.99437915,0.010669,31.283325,1.39037,0.2056,0.001156,0.054547777,0.0223
3/27/2015,70.1754386,0.010717,30.620716,1.40462,0.2076,0.001169,0.055082559,0.0223
3/30/2015,71.77946172,0.010835,31.386495,1.4154,0.2105,0.001179,0.055395871,0.0227
3/31/2015,70.35625082,0.010882,31.5638284,1.4108,0.212,0.001185,0.05613251,0.0226
4/2/2015,71.60168599,0.010943,32.50639884,1.43301,0.2125,0.001207,0.056111697,0.0233
4/8/2015,72.01978136,0.011022,30.82140855,1.40295,0.2098,0.001191,0.055309735,0.0243
4/9/2015,72.49089964,0.010834,30.93785409,1.38567,0.2095,0.001185,0.055772231,0.025
4/13/2015,75.10870997,0.010782,31.44344005,1.39235,0.212,0.001196,0.058505732,0.0253
4/14/2015,76.19984264,0.010968,30.59793977,1.39723,0.2111,0.001201,0.059664306,0.0257
4/15/2015,79.52356157,0.010982,30.91218375,1.39125,0.2098,0.001192,0.058057797,0.0262
4/16/2015,79.55914392,0.010926,30.546622,1.37908,0.2068,0.001182,0.06125849,0.0257
4/17/2015,79.9537394,0.010769,29.89237063,1.38847,0.2073,0.001186,0.061295297,0.0247
4/20/2015,80.34951456,0.010806,30.00454,1.39,0.2087,0.001195,0.056699029,0.0243
4/21/2015,78.30372196,0.010863,30.24780624,1.39224,0.2091,0.001197,0.057061341,0.0241
4/22/2015,79.08446164,0.010837,29.74937504,1.38292,0.2082,0.00119,0.057124436,0.0247
4/23/2015,81.88480329,0.010753,29.6463336,1.39152,0.2074,0.001189,0.057084083,0.0253
4/24/2015,82.06799591,0.01075,30.23849508,1.39002,0.2063,0.001187,0.055725971,0.0251
4/27/2015,80.32578264,0.010744,29.79928746,1.38582,0.2046,0.00119,0.055484856,0.0246
4/28/2015,78.75841436,0.010689,29.30980701,1.36853,0.2009,0.001171,0.055098479,0.0243
4/29/2015,80.18231768,0.010487,29.94036412,1.38986,0.2014,0.001167,0.060314685,0.0245
4/30/2015,82.28969007,0.01049,29.66571908,1.41982,0.2039,0.001174,0.059582543,0.0245
5/5/2015,84.13497859,0.010604,28.69092382,1.40842,0.2029,0.001165,0.060312264,0.0249
5/6/2015,83.56130004,0.010504,29.11855804,1.42396,0.2024,0.001161,0.059731459,0.0247
5/8/2015,81.85829551,0.010506,28.676998,1.41266,0.203,0.001159,0.059757943,0.0247
5/11/2015,81.30781903,0.010526,29.70021321,1.41369,0.2041,0.001155,0.060068432,0.0247
5/13/2015,81.07974855,0.010554,29.10846484,1.39958,0.1987,0.001128,0.059534081,0.025
5/14/2015,81.00482614,0.010344,29.27237931,1.41201,0.1996,0.001137,0.060388566,0.0247
5/15/2015,81.88946975,0.010385,29.20930488,1.42408,0.2005,0.001147,0.059248195,0.0251
